"film_id","name_of_film","release_year","length","description","language","rental_rate"
141,"Chicago North",2006,185,"A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California","English             ","4.99"
182,"Control Anthem",2006,185,"A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery","English             ","4.99"
212,"Darn Forrester",2006,185,"A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat","English             ","4.99"
426,"Home Pity",2006,185,"A Touching Panorama of a Man And a Secret Agent who must Challenge a Teacher in A MySQL Convention","English             ","4.99"
817,"Soldiers Evolution",2006,185,"A Lacklusture Panorama of a A Shark And a Pioneer who must Confront a Student in The First Manned Space Station","English             ","4.99"
499,"King Evolution",2006,184,"A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon","English             ","4.99"
597,"Moonwalker Fool",2006,184,"A Epic Drama of a Feminist And a Pioneer who must Sink a Composer in New Orleans","English             ","4.99"
340,"Frontier Cabin",2006,183,"A Emotional Story of a Madman And a Waitress who must Battle a Teacher in An Abandoned Fun House","English             ","4.99"
767,"Scalawag Duck",2006,183,"A Fateful Reflection of a Car And a Teacher who must Confront a Waitress in A Monastery","English             ","4.99"
973,"Wife Turn",2006,183,"A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan","English             ","4.99"
591,"Monsoon Cause",2006,182,"A Astounding Tale of a Crocodile And a Car who must Outrace a Squirrel in A U-Boat","English             ","4.99"
719,"Records Zorro",2006,182,"A Amazing Drama of a Mad Scientist And a Composer who must Build a Husband in The Outback","English             ","4.99"
721,"Reds Pocus",2006,182,"A Lacklusture Yarn of a Sumo Wrestler And a Squirrel who must Redeem a Monkey in Soviet Georgia","English             ","4.99"
765,"Saturn Name",2006,182,"A Fateful Epistle of a Butler And a Boy who must Redeem a Teacher in Berlin","English             ","4.99"
435,"Hotel Happiness",2006,181,"A Thrilling Yarn of a Pastry Chef And a A Shark who must Challenge a Mad Scientist in The Outback","English             ","4.99"
510,"Lawless Vision",2006,181,"A Insightful Yarn of a Boy And a Sumo Wrestler who must Outgun a Car in The Outback","English             ","4.99"
174,"Confidential Interview",2006,180,"A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan","English             ","4.99"
818,"Something Duck",2006,180,"A Boring Character Study of a Car And a Husband who must Outgun a Frisbee in The First Manned Space Station","English             ","4.99"
88,"Born Spinal",2006,179,"A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria","English             ","4.99"
126,"Casualties Encino",2006,179,"A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery","English             ","4.99"
323,"Flight Lies",2006,179,"A Stunning Character Study of a Crocodile And a Pioneer who must Pursue a Teacher in New Orleans","English             ","4.99"
803,"Slacker Liaisons",2006,179,"A Fast-Paced Tale of a A Shark And a Student who must Meet a Crocodile in Ancient China","English             ","4.99"
897,"Torque Bound",2006,179,"A Emotional Display of a Crocodile And a Husband who must Reach a Man in Ancient Japan","English             ","4.99"
944,"Virgin Daisy",2006,179,"A Awe-Inspiring Documentary of a Robot And a Mad Scientist who must Reach a Database Administrator in A Shark Tank","English             ","4.99"
256,"Drop Waterfront",2006,178,"A Fanciful Documentary of a Husband And a Explorer who must Reach a Madman in Ancient China","English             ","4.99"
460,"Innocent Usual",2006,178,"A Beautiful Drama of a Pioneer And a Crocodile who must Challenge a Student in The Outback","English             ","4.99"
